Muscle Group;Exercise ;Equipment Required ;Force Type ;Experience Level ;Link
Quads ;One Leg Dumbbell Squat (AKA Dumbbell Bulgarian Split Squat);Dumbbell;Legs;Intermediate;https://www.muscleandstrength.com/exercises/one-leg-dumbbell-squat-aka-bulgarian-squat.html?_gl=1*end71f*_up*MQ..*_ga*MjEwMDI4NDg4MS4xNzYzNDY0Mzk0*_ga_EHWPJCEX93*czE3NjM0NjQzOTMkbzEkZzAkdDE3NjM0NjQzOTMkajYwJGwwJGgw
Quads ;Dumbbell Lunge;Dumbbell;Legs;Beginner;https://www.muscleandstrength.com/exercises/dumbbell-lunge.html?_gl=1*1xgvrys*_up*MQ..*_ga*ODM3NDI4NzM3LjE3NjM0NjQ0MjM.*_ga_EHWPJCEX93*czE3NjM0NjQ0MjMkbzEkZzAkdDE3NjM0NjQ0MjMkajYwJGwwJGgw
Hamstrings ;Dumbbell Stiff Leg Deadlift ;Dumbbell;Legs;Beginner;https://www.muscleandstrength.com/exercises/dumbbell-stiff-leg-deadlift.html?_gl=1*1tiiv2d*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQwMDAkbzIkZzAkdDE3NjM0NjQwMDAkajYwJGwwJGgw
Hamstrings ;Deadlift ;Barbell;Legs;Intermediate;https://www.muscleandstrength.com/exercises/deadlifts.html?_gl=1*1tiiv2d*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQwMDAkbzIkZzAkdDE3NjM0NjQwMDAkajYwJGwwJGgw
Hamstrings ;Romanian Deadlift ;Barbell;Legs;Beginner;https://www.muscleandstrength.com/exercises/romanian-deadlift?_gl=1*1n4eqd7*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQwMDAkbzIkZzAkdDE3NjM0NjQwMDAkajYwJGwwJGgw
Hamstrings ;Dumbbell Hamstring Curl;Dumbbell ;Legs;Intermediate;https://www.muscleandstrength.com/exercises/dumbbell-hamstring-curl.html?_gl=1*irvqs5*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQwMDAkbzIkZzAkdDE3NjM0NjQwMDAkajYwJGwwJGgw
Hamstrings ;Landmine Romanian Deadlift ;Landmine ;Legs;Intermediate;https://www.muscleandstrength.com/exercises/landmine-romanian-deadlift?_gl=1*12csu9e*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQwMDAkbzIkZzAkdDE3NjM0NjQwMDAkajYwJGwwJGgw
Hamstrings ;Standing Cable Hamstring Curl;Cable ;Legs ;Beginner ;https://www.muscleandstrength.com/exercises/standing-cable-hamstring-curl.html?_gl=1*ygi6un*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQwMDAkbzIkZzAkdDE3NjM0NjQwMDAkajYwJGwwJGgw
Calves ;Seated Dumbbell Calf Raise;Dumbbell;Legs ;Beginner;https://www.muscleandstrength.com/exercises/seated-dumbbell-calf-raise.html?_gl=1*rh803f*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQ0MTUkbzIkZzAkdDE3NjM0NjQ0MTUkajYwJGwwJGgw
Calves ;Bodyweight Standing Calf Raise;Bodyweight ;Legs ;Beginner;https://www.muscleandstrength.com/exercises/bodyweight-standing-calf-raise.html?_gl=1*rh803f*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQ0MTUkbzIkZzAkdDE3NjM0NjQ0MTUkajYwJGwwJGgw
Calves ;45 Degree Leg Press Calf Raise;Machine;Legs ;Beginner ;https://www.muscleandstrength.com/exercises/45-degress-calf-press.html?_gl=1*1w6cvdh*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQ0MTUkbzIkZzAkdDE3NjM0NjQ0MTUkajYwJGwwJGgw
Calves ;Standing Barbell Calf Raise ;Barbell ;Legs ;Beginner ;https://www.muscleandstrength.com/exercises/standing-calf-raise.html?_gl=1*1w6cvdh*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQ0MTUkbzIkZzAkdDE3NjM0NjQ0MTUkajYwJGwwJGgw
Glutes;Hyperextension;Bodyweight;Legs;Beginner;https://www.muscleandstrength.com/exercises/hyperextension.html?_gl=1*1g39tdh*_up*MQ..*_ga*MjgzNTkyMzE2LjE3NjM0NjQ0NjU.*_ga_EHWPJCEX93*czE3NjM0NjQ0NjUkbzEkZzEkdDE3NjM0NjQ0NzMkajUyJGwwJGgw
Glutes;Barbell Hip Thrust;Barbell;Legs;Intermediate;https://www.muscleandstrength.com/exercises/barbell-hip-thrust?_gl=1*18ldt6y*_up*MQ..*_ga*MjgzNTkyMzE2LjE3NjM0NjQ0NjU.*_ga_EHWPJCEX93*czE3NjM0NjQ0NjUkbzEkZzEkdDE3NjM0NjQ1MjIkajMkbDAkaDA.
Glutes;Good Mornings;Barbell;Legs;Intermediate;https://www.muscleandstrength.com/exercises/good-mornings.html?_gl=1*oulqcg*_up*MQ..*_ga*MjgzNTkyMzE2LjE3NjM0NjQ0NjU.*_ga_EHWPJCEX93*czE3NjM0NjQ0NjUkbzEkZzEkdDE3NjM0NjQ1NDMkajYwJGwwJGgw
Glutes;Glute Kick Back;Bodyweight ;Legs;Beginner;https://www.muscleandstrength.com/exercises/glute-kick-back.html?_gl=1*2loa02*_up*MQ..*_ga*MjgzNTkyMzE2LjE3NjM0NjQ0NjU.*_ga_EHWPJCEX93*czE3NjM0NjQ0NjUkbzEkZzEkdDE3NjM0NjQ1NjUkajYwJGwwJGgw
Adductor ;Hip Adduction Machine ;Machine ;Legs ;Beginner ;https://www.muscleandstrength.com/exercises/hip-adduction-machine.html?_gl=1*3i9e0e*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQ1ODIkbzIkZzAkdDE3NjM0NjQ1ODIkajYwJGwwJGgw
Adductor ;Deep Squat Prying ;Kettle Bells;Legs ;Beginner ;https://www.muscleandstrength.com/exercises/deep-squat-prying?_gl=1*3i9e0e*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQ1ODIkbzIkZzAkdDE3NjM0NjQ1ODIkajYwJGwwJGgw
Adductor ;Cable Hip Adduction;Cable ;Legs ;Beginner ;https://www.muscleandstrength.com/exercises/cable-hip-adduction.html?_gl=1*ew08b4*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQ1ODIkbzIkZzAkdDE3NjM0NjQ1ODIkajYwJGwwJGgw
Abductor;Hip Abduction Machine ;Machine ;Legs ;Beginner;https://www.muscleandstrength.com/exercises/hip-abduction-machine.html?_gl=1*1hx9h24*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQ3NjckbzIkZzAkdDE3NjM0NjQ3NjckajYwJGwwJGgw
Abductor;Cable Hip Abduction;Cable ;Legs ;Beginner ;https://www.muscleandstrength.com/exercises/cable-hip-abduction.html?_gl=1*1hx9h24*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjQ3NjckbzIkZzAkdDE3NjM0NjQ3NjckajYwJGwwJGgw
Cardio ;Cycling Machine;Machine;Cardio;Beginner;https://www.youtube.com/watch?v=NwwDBARCGgo
Cardio ;Treadmill;Machine;Cardio;Beginner;https://www.youtube.com/watch?v=HxsFneJFM2c
Cardio ;Rowing Machine ;Machine;Cardio;Intermediate ;https://www.youtube.com/watch?v=6_eLpWiNijE
Cardio ;Assault Air Bike ;Machine;Cardio;Intermediate ;https://www.youtube.com/shorts/1K2GIpSd8ws
Cardio ;Crosstrainer ;Machine;Cardio;Beginner;https://www.youtube.com/watch?v=yISC2qwdh9I
Cardio ;Stairmaster ;Machine;Cardio;Beginner;https://www.youtube.com/shorts/k8iktBIyk8I
Cardio ;Ski-Ergometer ;Machine;Cardio;Intermediate ;https://www.youtube.com/shorts/3Qfhi3WXjbA
